Name,Team,Pos,No,ID
J.J. Moser,TBL,D,90,8482655
Darren Raddysh,TBL,D,43,8478178
Steven Santini,TBL,D,16,8477463
Jonas Johansson,TBL,G,31,8477992
Andrei Vasilevskiy,TBL,G,88,8476883
Noel Acciari,PIT,C,55,8478569
Justin Brazeau,PIT,R,16,8479638
Egor Chinakhov,PIT,R,59,8482475
Sidney Crosby,PIT,C,87,8471675
Connor Dewar,PIT,C,19,8480980
Filip Hallander,PIT,C,11,8480842
Kevin Hayes,PIT,R,13,8475763
Ben Kindel,PIT,C,81,8485414
Ville Koivunen,PIT,R,41,8482758
Blake Lizotte,PIT,C,46,8481481
Evgeni Malkin,PIT,C,71,8471215
Anthony Mantha,PIT,R,39,8477511
Tommy Novak,PIT,C,18,8478438
Rickard Rakell,PIT,R,67,8476483
Bryan Rust,PIT,R,17,8475810
Elmer Soderblom,PIT,L,25,8481725
Connor Clifton,PIT,D,75,8477365
Samuel Girard,PIT,D,49,8479398
Ryan Graves,PIT,D,27,8477435
Erik Karlsson,PIT,D,65,8474578
Kris Letang,PIT,D,58,8471724
Ryan Shea,PIT,D,5,8478854
Ilya Solovyov,PIT,D,7,8482470
Jack St. Ivany,PIT,D,3,8481030
Parker Wotherspoon,PIT,D,28,8478450
Arturs Silovs,PIT,G,37,8481668
Stuart Skinner,PIT,G,74,8479973
Josh Anderson,MTL,R,17,8476981
Zachary Bolduc,MTL,R,76,8482737
Cole Caufield,MTL,R,13,8481540
Kirby Dach,MTL,C,77,8481523
Phillip Danault,MTL,C,24,8476479
Ivan Demidov,MTL,R,93,8484984
Jake Evans,MTL,C,71,8478133
Brendan Gallagher,MTL,R,11,8475848
Oliver Kapanen,MTL,C,91,8482775
Patrik Laine,MTL,R,92,8479339
Alex Newhook,MTL,C,15,8481618
Juraj Slafkovský,MTL,L,20,8483515
Nick Suzuki,MTL,C,14,8480018
Alexandre Texier,MTL,L,85,8480074
Joe Veleno,MTL,C,90,8480813
Alexandre Carrier,MTL,D,45,8478851
Noah Dobson,MTL,D,53,8480865
Kaiden Guhle,MTL,D,21,8482087
Lane Hutson,MTL,D,48,8483457
Mike Matheson,MTL,D,8,8476875
Jayden Struble,MTL,D,47,8481593
Arber Xhekaj,MTL,D,72,8482964
Jakub Dobes,MTL,G,75,8482487
Jacob Fowler,MTL,G,32,8484170
Samuel Montembeault,MTL,G,35,8478470
Viktor Arvidsson,BOS,L,71,8478042
Michael Eyssimont,BOS,C,81,8479591
Morgan Geekie,BOS,C,39,8479987
Tanner Jeannot,BOS,L,84,8479661
Mark Kastelic,BOS,C,47,8480355
Marat Khusnutdinov,BOS,C,92,8482177
Sean Kuraly,BOS,C,52,8476374
Elias Lindholm,BOS,C,28,8477496
Fraser Minten,BOS,C,93,8483489
Casey Mittelstadt,BOS,C,11,8479999
David Pastrnak,BOS,R,88,8477956
Lukas Reichel,BOS,L,75,8482117
Alex Steeves,BOS,C,21,8482634
Pavel Zacha,BOS,C,18,8478401
Jonathan Aspirot,BOS,D,45,8481219
Jordan Harris,BOS,D,43,8480887
Henri Jokiharju,BOS,D,20,8480035
Hampus Lindholm,BOS,D,27,8476854
Mason Lohrei,BOS,D,6,8482511
Charlie McAvoy,BOS,D,73,8479325
Andrew Peeke,BOS,D,26,8479369
Nikita Zadorov,BOS,D,91,8477507
Joonas Korpisalo,BOS,G,70,8476914
Jeremy Swayman,BOS,G,1,8480280
Charlie Coyle,CBJ,C,3,8475745
Adam Fantilli,CBJ,C,19,8484166
Conor Garland,CBJ,R,83,8478856
Danton Heinen,CBJ,L,43,8478046
Boone Jenner,CBJ,C,38,8476432
Kent Johnson,CBJ,C,91,8482660
Isac Lundeström,CBJ,C,21,8480806
Kirill Marchenko,CBJ,R,86,8480893
Mason Marchment,CBJ,L,17,8478975
Sean Monahan,CBJ,C,23,8477497
Mathieu Olivier,CBJ,R,24,8479671
Cole Sillinger,CBJ,C,4,8482705
Dmitri Voronkov,CBJ,L,10,8481716
Miles Wood,CBJ,L,11,8477425
Jake Christiansen,CBJ,D,2,8481161
Dante Fabbro,CBJ,D,15,8479371
Erik Gudbranson,CBJ,D,44,8475790
Denton Mateychuk,CBJ,D,5,8483485
Ivan Provorov,CBJ,D,9,8478500
Damon Severson,CBJ,D,78,8476923
Brendan Smith,CBJ,D,7,8474090
Zach Werenski,CBJ,D,8,8478460
Egor Zamula,CBJ,D,6,8481178
Jet Greaves,CBJ,G,73,8482982
Elvis Merzlikins,CBJ,G,90,8478007
Mason Appleton,DET,C,22,8478891
Michael Brandsegg-Nygård,DET,R,28,8484794
J.T. Compher,DET,L,37,8477456
Andrew Copp,DET,C,18,8477429
Alex DeBrincat,DET,R,93,8479337
Sheldon Dries,DET,C,15,8480326
Emmitt Finnie,DET,C,58,8484471
Patrick Kane,DET,R,88,8474141
Marco Kasper,DET,C,92,8483464
Dylan Larkin,DET,C,71,8477946
David Perron,DET,L,57,8474102
Michael Rasmussen,DET,C,27,8479992
Lucas Raymond,DET,L,23,8482078
Dominik Shine,DET,R,65,8479942
James van Riemsdyk,DET,L,21,8474037
Jacob Bernard-Docker,DET,D,25,8480879
Ben Chiarot,DET,D,8,8475279
Simon Edvinsson,DET,D,77,8482762
Justin Faulk,DET,D,72,8475753
Travis Hamonic,DET,D,52,8474612
Albert Johansson,DET,D,20,8481607
Axel Sandin-Pellikka,DET,D,44,8484223
Moritz Seider,DET,D,53,8481542
John Gibson,DET,G,36,8476434
Cam Talbot,DET,G,39,8475660
Mathew Barzal,NYI,C,13,8478445
Casey Cizikas,NYI,C,53,8475231
Anthony Duclair,NYI,L,11,8477407
Marc Gatcomb,NYI,C,16,8483553
Emil Heineman,NYI,L,51,8482476
Simon Holmstrom,NYI,R,92,8481601
Bo Horvat,NYI,C,14,8477500
Anders Lee,NYI,L,27,8475314
Kyle MacLean,NYI,C,32,8481237
Jean-Gabriel Pageau,NYI,C,44,8476419
Ondrej Palat,NYI,L,81,8476292
