Name,Team,Pos,No,ID
Morgan Barron,WPG,C,36,8480289
Kyle Connor,WPG,L,81,8478398
Alex Iafallo,WPG,L,9,8480113
Cole Koepke,WPG,L,45,8481043
Brad Lambert,WPG,C,93,8483471
Adam Lowry,WPG,C,17,8476392
Vladislav Namestnikov,WPG,C,7,8476480
Nino Niederreiter,WPG,R,62,8475799
Gustav Nyquist,WPG,R,14,8474679
Cole Perfetti,WPG,C,91,8482149
Isak Rosen,WPG,R,27,8482765
Mark Scheifele,WPG,C,55,8476460
Jonathan Toews,WPG,C,19,8473604
Gabriel Vilardi,WPG,C,13,8480014
Jacob Bryson,WPG,D,78,8480196
Dylan DeMelo,WPG,D,2,8476331
Haydn Fleury,WPG,D,24,8477938
Ville Heinola,WPG,D,34,8481572
Colin Miller,WPG,D,6,8476525
Josh Morrissey,WPG,D,44,8477504
Neal Pionk,WPG,D,4,8480145
Elias Salomonsson,WPG,D,57,8483510
Dylan Samberg,WPG,D,54,8480049
Eric Comrie,WPG,G,1,8477480
Connor Hellebuyck,WPG,G,37,8476945
Jonatan Berggren,STL,R,29,8481013
Pavel Buchnevich,STL,L,89,8477402
Jonathan Drouin,STL,L,92,8477494
Dalibor Dvorsky,STL,R,54,8484164
Jack Finley,STL,C,37,8482090
Dylan Holloway,STL,L,81,8482077
Jordan Kyrou,STL,R,25,8479385
Jake Neighbours,STL,L,63,8482089
Jimmy Snuggerud,STL,R,21,8483516
Otto Stenberg,STL,C,28,8484230
Oskar Sundqvist,STL,C,70,8476897
Pius Suter,STL,C,22,8480459
Robert Thomas,STL,C,18,8480023
Alexey Toropchenko,STL,R,13,8480281
Nathan Walker,STL,L,26,8477573
Philip Broberg,STL,D,6,8481598
Cam Fowler,STL,D,17,8475764
Justin Holl,STL,D,4,8475718
Matthew Kessel,STL,D,51,8482516
Theo Lindstein,STL,D,41,8484188
Logan Mailloux,STL,D,23,8482733
Colton Parayko,STL,D,55,8476892
Tyler Tucker,STL,D,75,8481006
Jordan Binnington,STL,G,50,8476412
Joel Hofer,STL,G,30,8480981
Jonny Brodzinski,NYR,C,22,8477380
Jaroslav Chmelar,NYR,R,49,8482877
Will Cuylle,NYR,L,50,8482157
Adam Edstrom,NYR,C,84,8481726
Tye Kartye,NYR,L,24,8481789
Noah Laba,NYR,C,42,8483690
Alexis Lafrenière,NYR,L,13,8482109
J.T. Miller,NYR,C,8,8476468
Juuso Parssinen,NYR,C,71,8481704
Gabe Perreault,NYR,R,94,8484210
Taylor Raddysh,NYR,R,14,8479390
Matt Rempe,NYR,C,73,8482460
Conor Sheary,NYR,L,43,8477839
Vincent Trocheck,NYR,C,16,8476389
Mika Zibanejad,NYR,C,93,8476459
Will Borgen,NYR,D,17,8478840
Adam Fox,NYR,D,23,8479323
Vladislav Gavrikov,NYR,D,44,8478882
Vincent Iorio,NYR,D,6,8482861
Connor Mackey,NYR,D,12,8482067
Matthew Robertson,NYR,D,29,8481525
Braden Schneider,NYR,D,4,8482073
Urho Vaakanainen,NYR,D,18,8480001
Dylan Garand,NYR,G,33,8482193
Jonathan Quick,NYR,G,32,8471734
Igor Shesterkin,NYR,G,31,8478048
Connor Bedard,CHI,C,98,8484144
Tyler Bertuzzi,CHI,L,59,8477479
Sacha Boisvert,CHI,C,12,8484793
Andre Burakovsky,CHI,L,28,8477444
Ryan Donato,CHI,C,8,8477987
Ryan Greene,CHI,C,20,8483450
Sam Lafferty,CHI,C,24,8478043
Nick Lardis,CHI,L,76,8484185
Andrew Mangiapane,CHI,L,26,8478233
Ilya Mikheyev,CHI,R,95,8481624
Oliver Moore,CHI,C,11,8484197
Frank Nazar,CHI,C,91,8483493
Landon Slaggert,CHI,L,84,8482172
Teuvo Teravainen,CHI,C,86,8476882
Dominic Toninato,CHI,C,25,8476952
Louis Crevier,CHI,D,46,8481806
Ethan Del Mastro,CHI,D,38,8482807
Matt Grzelcyk,CHI,D,48,8476891
Wyatt Kaiser,CHI,D,44,8482176
Artyom Levshunov,CHI,D,55,8484783
Sam Rinzel,CHI,D,6,8483506
Alex Vlasic,CHI,D,72,8481568
Spencer Knight,CHI,G,30,8481519
Arvid Soderblom,CHI,G,40,8482821
Mikael Backlund,CGY,C,11,8474150
John Beecher,CGY,C,18,8481556
Blake Coleman,CGY,L,20,8476399
Matt Coronato,CGY,R,27,8482679
Joel Farabee,CGY,L,86,8480797
Morgan Frost,CGY,C,16,8480028
Matvei Gridin,CGY,R,92,8484860
Tyson Gross,CGY,C,39,8486056
Samuel Honzek,CGY,L,29,8484180
Jonathan Huberdeau,CGY,L,10,8476456
Adam Klapka,CGY,R,43,8483609
Ryan Lomberg,CGY,L,70,8479066
Victor Olofsson,CGY,L,95,8478109
Martin Pospisil,CGY,C,76,8481028
Yegor Sharangovich,CGY,C,17,8481068
Ryan Strome,CGY,C,22,8476458
Connor Zary,CGY,C,47,8482074
Kevin Bahl,CGY,D,7,8480860
Jake Bean,CGY,D,24,8479402
Hunter Brzustewicz,CGY,D,48,8484150
Joel Hanley,CGY,D,44,8477810
Yan Kuznetsov,CGY,D,37,8482165
Olli Määttä,CGY,D,3,8476874
Brayden Pachal,CGY,D,94,8481167
Zayne Parekh,CGY,D,19,8484768
Zach Whitecloud,CGY,D,28,8480727
Devin Cooley,CGY,G,1,8482445
Dustin Wolf,CGY,G,32,8481692
Nils Aman,VAN,C,88,8482496
Teddy Blueger,VAN,C,53,8476927
Brock Boeser,VAN,R,6,8478444
Filip Chytil,VAN,C,72,8480078
Jake DeBrusk,VAN,L,74,8478498
Curtis Douglas,VAN,C,42,8480876
Nils Hoglander,VAN,L,21,8481535
Evander Kane,VAN,L,91,8475169
Linus Karlsson,VAN,C,94,8481024
Drew O'Connor,VAN,L,18,8482055
Liam Ohgren,VAN,L,92,8483499
Elias Pettersson,VAN,C,40,8480012
Aatu Räty,VAN,C,54,8482691
Marco Rossi,VAN,C,93,8482079
Max Sasson,VAN,C,63,8484136
Zeev Buium,VAN,D,24,8484798
Derek Forbort,VAN,D,27,8475762
Filip Hronek,VAN,D,17,8479425
Pierre-Olivier Joseph,VAN,D,7,8480058
Victor Mancini,VAN,D,90,8483768
Elias Pettersson,VAN,D,25,8483678
Marcus Pettersson,VAN,D,29,8477969
Tom Willander,VAN,D,5,8484240
Thatcher Demko,VAN,G,35,8477967
Kevin Lankinen,VAN,G,32,8480947
Nikita Tolopilo,VAN,G,60,8484268
