Name,Team,Pos,No
Ivan Demidov,MTL,R,93
Jake Evans,MTL,C,71
Brendan Gallagher,MTL,R,11
Oliver Kapanen,MTL,C,91
Patrik Laine,MTL,R,92
Alex Newhook,MTL,C,15
Juraj Slafkovský,MTL,L,20
Nick Suzuki,MTL,C,14
Alexandre Texier,MTL,L,85
Joe Veleno,MTL,C,90
Alexandre Carrier,MTL,D,45
Noah Dobson,MTL,D,53
Kaiden Guhle,MTL,D,21
Lane Hutson,MTL,D,48
Mike Matheson,MTL,D,8
Jayden Struble,MTL,D,47
Arber Xhekaj,MTL,D,72
Jakub Dobes,MTL,G,75
Jacob Fowler,MTL,G,32
Samuel Montembeault,MTL,G,35
Viktor Arvidsson,BOS,L,71
Michael Eyssimont,BOS,C,81
Morgan Geekie,BOS,C,39
Tanner Jeannot,BOS,L,84
Mark Kastelic,BOS,C,47
Marat Khusnutdinov,BOS,C,92
Sean Kuraly,BOS,C,52
Elias Lindholm,BOS,C,28
Fraser Minten,BOS,C,93
Casey Mittelstadt,BOS,C,11
David Pastrnak,BOS,R,88
Lukas Reichel,BOS,L,75
Alex Steeves,BOS,C,21
Pavel Zacha,BOS,C,18
Jonathan Aspirot,BOS,D,45
Jordan Harris,BOS,D,43
Henri Jokiharju,BOS,D,20
Hampus Lindholm,BOS,D,27
Mason Lohrei,BOS,D,6
Charlie McAvoy,BOS,D,73
Andrew Peeke,BOS,D,26
Nikita Zadorov,BOS,D,91
Joonas Korpisalo,BOS,G,70
Jeremy Swayman,BOS,G,1
Charlie Coyle,CBJ,C,3
Adam Fantilli,CBJ,C,19
Conor Garland,CBJ,R,83
Danton Heinen,CBJ,L,43
Boone Jenner,CBJ,C,38
Kent Johnson,CBJ,C,91
Isac Lundeström,CBJ,C,21
Kirill Marchenko,CBJ,R,86
Mason Marchment,CBJ,L,17
Sean Monahan,CBJ,C,23
Mathieu Olivier,CBJ,R,24
Cole Sillinger,CBJ,C,4
Dmitri Voronkov,CBJ,L,10
Miles Wood,CBJ,L,11
Jake Christiansen,CBJ,D,2
Dante Fabbro,CBJ,D,15
Erik Gudbranson,CBJ,D,44
Denton Mateychuk,CBJ,D,5
Ivan Provorov,CBJ,D,9
Damon Severson,CBJ,D,78
Brendan Smith,CBJ,D,7
Zach Werenski,CBJ,D,8
Egor Zamula,CBJ,D,6
Jet Greaves,CBJ,G,73
Elvis Merzlikins,CBJ,G,90
Mason Appleton,DET,C,22
Michael Brandsegg-Nygård,DET,R,28
J.T. Compher,DET,L,37
Andrew Copp,DET,C,18
Alex DeBrincat,DET,R,93
Sheldon Dries,DET,C,15
Emmitt Finnie,DET,C,58
Patrick Kane,DET,R,88
Marco Kasper,DET,C,92
Dylan Larkin,DET,C,71
David Perron,DET,L,57
